BYTES_READ,BYTES_WRITTEN,COMBINE_INPUT_RECORDS,COMBINE_OUTPUT_RECORDS,COMMITTED_HEAP_BYTES,CPU_MILLISECONDS,DATA_LOCAL_MAPS,DAY_OF_MONTH,DAY_OF_WEEK,ELAPSED_MILLISECONDS,FAILED_SHUFFLE,FALLOW_SLOTS_MILLIS_MAPS,FALLOW_SLOTS_MILLIS_REDUCES,GC_TIME_MILLIS,HOUR_OF_DAY,LARGE_READ_OPS,MAP_INPUT_RECORDS,MAP_OUTPUT_BYTES,MAP_OUTPUT_MATERIALIZED_BYTES,MAP_OUTPUT_RECORDS,MAP_SKIPPED_RECORDS,MB_MILLIS_MAPS,MB_MILLIS_REDUCES,MERGED_MAP_OUTPUTS,MILLIS_MAPS,MILLIS_REDUCES,NUM_FAILED_MAPS,NUM_FAILED_REDUCES,NUM_FAILED_UBERTASKS,NUM_KILLED_MAPS,NUM_KILLED_REDUCES,NUM_UBER_SUBMAPS,NUM_UBER_SUBREDUCES,OTHER_LOCAL_MAPS,PHYSICAL_MEMORY_BYTES,RACK_LOCAL_MAPS,READ_OPS,REDUCE_INPUT_GROUPS,REDUCE_INPUT_RECORDS,REDUCE_OUTPUT_RECORDS,REDUCE_SHUFFLE_BYTES,REDUCE_SKIPPED_GROUPS,REDUCE_SKIPPED_RECORDS,SEGMENT_SIZE,SHUFFLED_MAPS,SLOTS_MILLIS_MAPS,SLOTS_MILLIS_REDUCES,SPILLED_RECORDS,SPLIT_RAW_BYTES,TOTAL_LAUNCHED_MAPS,TOTAL_LAUNCHED_REDUCES,TOTAL_LAUNCHED_UBERTASKS,VCORES_MILLIS_MAPS,VCORES_MILLIS_REDUCES,VIRTUAL_MEMORY_BYTES,WRITE_OPS,YEAR
5.8872031E11,1.33737038E11,0.0,0.0,1.41207137E13,2.8859241E9,2327.0,25.0,6.0,2566007.0,0.0,0.0,0.0,9.3305584E7,18.0,0.0,9.0321551E9,1.2090156E12,2.36027871E11,9.0277448E9,0.0,7.5163553E12,2.60785072E12,3508890.0,1.46803814E9,4.24454848E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1.36389602E13,1015.0,77685.0,1.67792128E8,9.0277448E9,0.0,2.36027871E11,0.0,0.0,5150.0,3508890.0,1.46803814E9,8.489097E8,2.61176136E10,3550200.0,3410.0,1029.0,0.0,1.46803814E9,4.24454848E8,2.99463134E13,4116.0,2018.0
5.8637143E11,1.34148375E11,0.0,0.0,1.42501594E13,2.18164454E9,2280.0,26.0,7.0,1651613.0,0.0,0.0,0.0,5.6722912E7,3.0,0.0,9.007871E9,1.20325538E12,2.34824614E11,9.0034616E9,0.0,5.9416972E12,1.27901277E12,3451530.0,1.16048768E9,2.08172656E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.37195432E13,938.0,77488.0,1.67952704E8,9.0034616E9,0.0,2.34824614E11,0.0,0.0,5146.0,3451530.0,1.16048768E9,4.16345312E8,2.6100523E10,3534471.0,3351.0,1030.0,0.0,1.16048768E9,2.08172656E8,2.95825582E13,4120.0,2018.0
5.8782214E11,1.34386926E11,0.0,0.0,1.41705295E13,2.43367194E9,2310.0,26.0,7.0,1895265.0,0.0,0.0,0.0,6.9502536E7,12.0,0.0,9.0272461E9,1.20680455E12,2.35465261E11,9.0228367E9,0.0,6.1258785E12,1.40920868E12,3487580.0,1.19646067E9,2.29363392E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1.36455987E13,994.0,77890.0,1.68127904E8,9.0228367E9,0.0,2.35465261E11,0.0,0.0,5146.0,3487580.0,1.19646067E9,4.58726784E8,2.61482885E10,3556446.0,3386.0,1030.0,0.0,1.19646067E9,2.29363392E8,2.98162649E13,4120.0,2018.0
5.8831169E11,1.34491316E11,0.0,0.0,1.39397882E13,2.45604787E9,2304.0,26.0,7.0,1679948.0,0.0,0.0,0.0,7.482616E7,14.0,0.0,9.035134E9,1.20830558E12,2.35738694E11,9.0307246E9,0.0,5.9969356E12,1.69434992E12,3483460.0,1.17127654E9,2.75773088E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1.34841788E13,977.0,77956.0,1.68197632E8,9.0307246E9,0.0,2.35738694E11,0.0,0.0,5146.0,3483460.0,1.17127654E9,5.5154618E8,2.61851136E10,3558972.0,3382.0,1030.0,0.0,1.17127654E9,2.75773088E8,2.97823686E13,4120.0,2018.0
5.888329E11,1.34592692E11,0.0,0.0,1.38349977E13,2.14819763E9,2303.0,26.0,7.0,1510980.0,0.0,0.0,0.0,5.560798E7,16.0,0.0,9.0426634E9,1.20976205E12,2.36024758E11,9.0382531E9,0.0,5.5660291E12,1.25501741E12,3485520.0,1.08711501E9,2.04267152E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,1.34272883E13,913.0,78043.0,1.6826552E8,9.0382531E9,0.0,2.36024758E11,0.0,0.0,5146.0,3485520.0,1.08711501E9,4.08534304E8,2.62108815E10,3563109.0,3384.0,1030.0,0.0,1.08711501E9,2.04267152E8,2.9809145E13,4120.0,2018.0
5.8930004E11,1.34694748E11,0.0,0.0,1.39165319E13,2.1140672E9,2297.0,26.0,7.0,1581764.0,0.0,0.0,0.0,5.8040288E7,18.0,0.0,9.0500157E9,1.21122836E12,2.36277039E11,9.0456054E9,0.0,5.8162922E12,1.55628103E12,3481400.0,1.13599462E9,2.5330096E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1.34625624E13,882.0,78112.0,1.68329824E8,9.0456054E9,0.0,2.36277039E11,0.0,0.0,5146.0,3481400.0,1.13599462E9,5.0660192E8,2.62245212E10,3565770.0,3380.0,1030.0,0.0,1.13599462E9,2.5330096E8,2.97658158E13,4120.0,2018.0
5.8667205E11,1.33985149E11,0.0,0.0,1.38984313E13,2.49325824E9,2230.0,27.0,1.0,1953690.0,0.0,0.0,0.0,7.5219544E7,3.0,0.0,9.0237184E9,1.2036094E12,2.34961797E11,9.0193091E9,0.0,6.7710904E12,1.54796071E12,3405990.0,1.32247859E9,2.5194672E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,1.34196578E13,908.0,77916.0,1.68367504E8,9.0193091E9,0.0,2.34961797E11,0.0,0.0,5138.0,3405990.0,1.32247859E9,5.0389344E8,2.61558149E10,3549495.0,3310.0,1029.0,0.0,1.32247859E9,2.5194672E8,2.93044486E13,4116.0,2018.0
5.8832762E11,1.34169313E11,0.0,0.0,1.43536769E13,2.33660058E9,2330.0,27.0,1.0,2068643.0,0.0,0.0,0.0,8.8363008E7,12.0,0.0,9.0378844E9,1.20637057E12,2.35274519E11,9.033474E9,0.0,5.9996043E12,1.98613441E12,3507861.0,1.17179763E9,3.23264064E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.37362491E13,1071.0,78468.0,1.68504656E8,9.033474E9,0.0,2.35274519E11,0.0,0.0,5138.0,3507861.0,1.17179763E9,6.4652813E8,2.61546557E10,3585324.0,3409.0,1029.0,0.0,1.17179763E9,3.23264064E8,2.99535486E13,4116.0,2018.0
5.8870786E11,1.34275564E11,0.0,0.0,1.43830486E13,1.86648589E9,2310.0,27.0,1.0,1535252.0,0.0,0.0,0.0,3.9809196E7,14.0,0.0,9.0457774E9,1.20786806E12,2.35570856E11,9.0413681E9,0.0,5.1970903E12,1.33709955E12,3491397.0,1.0150567E9,2.1762688E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,1.38525456E13,901.0,78504.0,1.6857384E8,9.0413681E9,0.0,2.35570856E11,0.0,0.0,5138.0,3491397.0,1.0150567E9,4.3525376E8,2.61979238E10,3585168.0,3393.0,1029.0,0.0,1.0150567E9,2.1762688E8,2.98637234E13,4116.0,2018.0
5.8916366E11,1.34380724E11,0.0,0.0,1.41599892E13,2.08627366E9,2304.0,27.0,1.0,1670202.0,0.0,0.0,0.0,4.8528164E7,16.0,0.0,9.0532588E9,1.20933725E12,2.35884347E11,9.0488494E9,0.0,5.4158416E12,1.6687585E12,3486252.0,1.05778157E9,2.71607808E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.36263468E13,1071.0,78567.0,1.68641648E8,9.0488494E9,0.0,2.35884347E11,0.0,0.0,5138.0,3486252.0,1.05778157E9,5.4321562E8,2.62280643E10,3587448.0,3388.0,1029.0,0.0,1.05778157E9,2.71607808E8,2.98139391E13,4116.0,2018.0
