BYTES_READ,BYTES_WRITTEN,COMBINE_INPUT_RECORDS,COMBINE_OUTPUT_RECORDS,COMMITTED_HEAP_BYTES,CPU_MILLISECONDS,DATA_LOCAL_MAPS,DAY_OF_MONTH,DAY_OF_WEEK,ELAPSED_MILLISECONDS,FAILED_SHUFFLE,FALLOW_SLOTS_MILLIS_MAPS,FALLOW_SLOTS_MILLIS_REDUCES,GC_TIME_MILLIS,HOUR_OF_DAY,LARGE_READ_OPS,MAP_INPUT_RECORDS,MAP_OUTPUT_BYTES,MAP_OUTPUT_MATERIALIZED_BYTES,MAP_OUTPUT_RECORDS,MAP_SKIPPED_RECORDS,MB_MILLIS_MAPS,MB_MILLIS_REDUCES,MERGED_MAP_OUTPUTS,MILLIS_MAPS,MILLIS_REDUCES,NUM_FAILED_MAPS,NUM_FAILED_REDUCES,NUM_FAILED_UBERTASKS,NUM_KILLED_MAPS,NUM_KILLED_REDUCES,NUM_UBER_SUBMAPS,NUM_UBER_SUBREDUCES,OTHER_LOCAL_MAPS,PHYSICAL_MEMORY_BYTES,RACK_LOCAL_MAPS,READ_OPS,REDUCE_INPUT_GROUPS,REDUCE_INPUT_RECORDS,REDUCE_OUTPUT_RECORDS,REDUCE_SHUFFLE_BYTES,REDUCE_SKIPPED_GROUPS,REDUCE_SKIPPED_RECORDS,SEGMENT_SIZE,SHUFFLED_MAPS,SLOTS_MILLIS_MAPS,SLOTS_MILLIS_REDUCES,SPILLED_RECORDS,SPLIT_RAW_BYTES,TOTAL_LAUNCHED_MAPS,TOTAL_LAUNCHED_REDUCES,TOTAL_LAUNCHED_UBERTASKS,VCORES_MILLIS_MAPS,VCORES_MILLIS_REDUCES,VIRTUAL_MEMORY_BYTES,WRITE_OPS,YEAR
1.14722564E12,5.7931269E9,0.0,0.0,2.81385642E13,1.7213847E9,7350.0,23.0,4.0,1038917.0,0.0,0.0,0.0,1.10384928E8,17.0,0.0,2.09342976E10,2.86841274E11,1.42751875E11,2.79604096E9,0.0,3.45841651E12,2.35489247E11,7378285.0,6.75472E8,3.8328328E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,2.64583554E13,1772.0,496988.0,3.7001884E7,2.79604096E9,0.0,1.42751875E11,0.0,0.0,11.0,7378285.0,6.75472E8,7.6656656E7,5.5920819E9,2.3629392E7,9545.0,773.0,0.0,6.75472E8,3.8328328E7,6.8290085E13,3092.0,2018.0
9.6979963E11,5.7336274E9,0.0,0.0,2.4587052E13,1.29354099E9,6930.0,23.0,4.0,508227.0,0.0,0.0,0.0,7.274472E7,19.0,0.0,9.1903508E9,6.0099486E10,1.77189908E10,5.773152E8,0.0,1.88684907E12,6.4665612E10,6811676.0,3.68525216E8,1.0525002E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,2.30098595E13,1716.0,408368.0,3.5858712E7,5.773152E8,0.0,1.77189908E10,0.0,0.0,13.0,6811676.0,3.68525216E8,2.1050004E7,1.15820646E9,1.9476776E7,8812.0,773.0,0.0,3.68525216E8,1.0525002E7,6.3465893E13,3092.0,2018.0
3.04958459E12,3.33258813E10,0.0,0.0,4.8770989E13,6.3581947E9,7623.0,24.0,5.0,1700047.0,0.0,0.0,0.0,3.5247264E8,4.0,0.0,3.9119421E10,5.072931E12,1.51452477E12,3.12737464E10,0.0,1.76650034E13,1.00837438E12,1.0398092E7,3.45019571E9,1.6412344E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,5.0588293E13,5503.0,1171337.0,2.3350392E7,3.12737464E10,0.0,1.51452477E12,0.0,0.0,6767.0,1.0398092E7,3.45019571E9,3.2824688E8,8.0377987E10,5.4953952E7,13348.0,779.0,0.0,3.45019571E9,1.6412344E8,9.36095E13,3116.0,2018.0
3.05007113E12,3.33699277E10,0.0,0.0,4.8496829E13,7.0527683E9,7628.0,24.0,5.0,1600931.0,0.0,0.0,0.0,4.11614208E8,10.0,0.0,3.9119421E10,5.0751403E12,1.51511407E12,3.12737464E10,0.0,1.98246463E13,9.1592065E11,1.0431036E7,3.87200128E9,1.49075616E8,56.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,5.0162223E13,5478.0,1171375.0,2.3350392E7,3.12737464E10,0.0,1.51511407E12,0.0,0.0,6778.0,1.0431036E7,3.87200128E9,2.98151232E8,8.0485458E10,5.495592E7,13412.0,781.0,0.0,3.87200128E9,1.49075616E8,9.365479E13,3124.0,2018.0
3.10254685E12,8.8993554E10,0.0,0.0,4.928761E13,5.9422976E9,7680.0,24.0,5.0,2599198.0,0.0,0.0,0.0,3.1377184E8,14.0,0.0,3.9671525E10,5.1995853E12,1.5677843E12,3.182157E10,0.0,1.50863012E13,1.68413495E12,1.0594976E7,2.9465431E9,2.74110528E8,0.0,0.0,0.0,47.0,0.0,0.0,0.0,249.0,5.2674012E13,5632.0,1176772.0,3.6988212E7,3.182157E10,0.0,1.5677843E12,0.0,0.0,6783.0,1.0594976E7,2.9465431E9,5.4822106E8,8.2100298E10,5.5220152E7,13561.0,784.0,0.0,2.9465431E9,2.74110528E8,9.4746417E13,3136.0,2018.0
3.10602472E12,9.2469821E10,0.0,0.0,4.948684E13,6.0637338E9,7741.0,24.0,5.0,2340190.0,0.0,0.0,0.0,2.68607904E8,16.0,0.0,3.970057E10,5.2080321E12,1.57242517E12,3.18506148E10,0.0,1.42843471E13,1.48150551E12,1.0667365E7,2.78991155E9,2.41130448E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,5.2701052E13,5575.0,1177055.0,3.7015684E7,3.18506148E10,0.0,1.57242517E12,0.0,0.0,6785.0,1.0667365E7,2.78991155E9,4.82260896E8,8.2249695E10,5.5240948E7,13589.0,785.0,0.0,2.78991155E9,2.41130448E8,9.5248097E13,3140.0,2018.0
8.9390114E11,4.6489964E9,0.0,0.0,2.42916954E13,8.0621434E8,7406.0,24.0,5.0,429049.0,0.0,0.0,0.0,4.1565808E7,19.0,0.0,8.1738947E9,1.11471309E10,8.8637512E9,1.0482424E8,0.0,1.37794093E12,7.5261764E10,7171760.0,2.69129088E8,1.2249636E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.28969614E13,1644.0,475394.0,3.5860648E7,1.0482424E8,0.0,8.8637512E9,0.0,0.0,14.0,7171760.0,2.69129088E8,2.4499272E7,2.0964848E8,2.2595692E7,9136.0,785.0,0.0,2.69129088E8,1.2249636E7,6.5685049E13,3140.0,2018.0
3.09926114E12,9.1181933E10,0.0,0.0,4.9397568E13,6.3138109E9,7718.0,25.0,6.0,1667388.0,0.0,0.0,0.0,3.3093664E8,4.0,0.0,3.9572488E10,5.1882361E12,1.5655355E12,3.17424538E10,0.0,1.67655936E13,1.20388361E12,1.0537232E7,3.27452979E9,1.95944592E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,5.2031683E13,5561.0,1171540.0,3.702046E7,3.17424538E10,0.0,1.5655355E12,0.0,0.0,6709.0,1.0537232E7,3.27452979E9,3.91889184E8,8.1715978E10,5.4984908E7,13544.0,778.0,0.0,3.27452979E9,1.95944592E8,9.4901086E13,3112.0,2018.0
1.41042752E12,7.0691942E9,0.0,0.0,3.24029865E13,1.79702451E9,8836.0,25.0,6.0,989402.0,0.0,0.0,0.0,1.23572448E8,11.0,0.0,1.52047043E10,4.25971614E11,2.30194151E11,4.18419994E9,0.0,3.48874421E12,6.9786088E11,9006906.0,6.8139539E8,1.13584128E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,3.16014089E13,2542.0,790012.0,3.7010652E7,4.18419994E9,0.0,2.30194151E11,0.0,0.0,10.0,9006906.0,6.8139539E8,2.27168256E8,8.3683999E9,3.7325496E7,11577.0,778.0,0.0,6.8139539E8,1.13584128E8,8.1681738E13,3112.0,2018.0
5.13982071E11,5.5482952E9,0.0,0.0,1.20821635E13,5.6761171E8,2305.0,25.0,6.0,342430.0,0.0,0.0,0.0,2.9391112E7,13.0,0.0,5.8730409E9,3.36014442E11,3.9545635E10,3.31041485E9,0.0,9.931893E11,1.36789787E11,2545616.0,1.93982288E8,2.2263964E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.10945936E13,932.0,104590.0,3.5870832E7,3.31041485E9,0.0,3.9545635E10,0.0,0.0,6.0,2545616.0,1.93982288E8,4.4527928E7,6.663828E9,4904278.0,3272.0,778.0,0.0,1.93982288E8,2.2263964E7,2.72367679E13,3112.0,2018.0
